GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "16000","Idaho",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",2390991,2647659,2894151,3304340,3820515,4497360,4866714,5436242,5942337,6829893,7469176,8394944,9237600,9699648,10599546,11294307,11932755,12177177,12724367,13765671,15146937,16352310,17190924,18904843,20720800,22179369,23842687,25334944,26420121,28285996,30123419,32601169,33979522,35112387,36321651,39252192,41760737,46002241,48997259,50089182,48408680,50144476,53041271,56111881,58236024,61616002,65610780,68054782,71812936
 "16000","Idaho",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",707000,717255,738749,763229,782061,807973,831981,856979,883446,910962,932636,947983,962204,973719,981866,990841,994052,990222,984997,985661,994422,1012384,1041316,1071685,1108768,1145140,1177322,1203083,1228520,1252330,1275674,1299430,1319962,1340372,1363380,1391802,1428241,1468669,1505105,1534320,1554439,1570912,1583180,1594673,1610187,1630391,1649324,1680026,1716943
 "16000","Idaho",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3382,3691,3918,4329,4885,5566,5850,6343,6726,7497,8009,8856,9600,9961,10795,11399,12004,12297,12918,13966,15232,16152,16509,17640,18688,19368,20252,21058,21506,22587,23614,25089,25743,26196,26641,28202,29239,31322,32554,32646,31142,31921,33503,35187,36167,37792,39780,40508,41826
 "16001","Ada, ID",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",450465,512191,578499,654743,745922,862053,1014982,1158730,1325478,1546456,1708750,1897744,2090107,2240075,2407482,2649168,2869634,2959609,3141294,3466861,3830835,4161641,4496472,5083537,5688447,6416497,7000247,7383228,7771687,8425585,9246965,10465652,10524260,10997642,11352545,12277544,13093647,14711283,15225485,15105477,14660034,15059082,15899093,16958345,17831514,19263622,20630304,21511244,22796904
 "16001","Ada, ID",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",110299,112998,117830,123135,129727,135542,141060,147335,154515,162278,168779,174090,177613,180481,182911,186280,189811,191039,192926,195508,200950,207722,216798,225266,236477,247225,256860,266290,274325,284946,294292,303328,313896,321616,327393,334926,348755,363498,375368,382618,388577,393446,400995,408915,416074,425627,432768,444269,456849
 "16001","Ada, ID",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4084,4533,4910,5317,5750,6360,7195,7865,8578,9530,10124,10901,11768,12412,13162,14221,15118,15492,16282,17733,19064,20035,20740,22567,24055,25954,27253,27726,28330,29569,31421,34503,33528,34195,34676,36657,37544,40471,40561,39479,37727,38275,39649,41472,42857,45259,47671,48419,49900
 "16003","Adams, ID",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",11201,11009,12093,14064,15310,18412,19888,22979,23524,27476,30132,30491,32048,33805,36484,41280,40687,38361,41778,44991,45789,45517,46808,51137,55415,58074,59168,61350,65706,69322,72003,76546,76049,82465,85293,94671,99410,105259,111370,113856,107841,110462,116494,121391,122868,130277,139767,146606,152821
 "16003","Adams, ID",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",2872,2880,2880,3006,3088,3174,3169,3090,3244,3341,3370,3333,3276,3237,3315,3413,3372,3380,3196,3321,3223,3257,3306,3457,3583,3692,3676,3693,3572,3531,3517,3477,3495,3559,3624,3693,3817,3788,3949,4021,4000,3962,3981,3907,3863,3882,3889,3949,4147
 "16003","Adams, ID",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3900,3823,4199,4679,4958,5801,6276,7437,7252,8224,8941,9148,9783,10443,11006,12095,12066,11349,13072,13547,14207,13975,14158,14792,15466,15730,16096,16613,18395,19632,20473,22015,21759,23171,23536,25635,26044,27787,28202,28315,26960,27880,29262,31070,31806,33559,35939,37125,36851
 "16005","Bannock, ID",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",163243,180403,197548,221291,245415,288684,332065,389601,428435,484031,533850,578044,625003,665608,709757,744846,804872,800033,816251,850233,911170,959674,1025897,1114719,1199290,1261196,1326803,1394924,1454686,1523758,1572556,1641240,1730295,1782337,1854152,1966512,2046658,2170243,2284849,2368344,2353713,2422488,2525711,2593837,2658595,2757768,2911085,3008320,3153879
